ds,category,Year,Month,y
2022-03-21,باربری و جابجایی,1401,1,21
2022-03-21,باغبانی و فضای سبز,1401,1,2
2022-03-21,برقکاری,1401,1,61
2022-03-21,تعمیرات موبایل,1401,1,18
2022-03-21,تندرستی و ورزش,1401,1,1
2022-03-21,حیوانات خانگی,1401,1,11
2022-03-21,خدمات بیمه‌,1401,1,1
2022-03-21,خدمات شیشه ای ساختمان,1401,1,10
2022-03-21,خدمات فوری آچاره,1401,1,11
2022-03-21,خدمات و تعمیرات خودرو,1401,1,96
2022-03-21,خدمات و تعمیرات ساختمان,1401,1,54
2022-03-21,خدمات کامپیوتری,1401,1,7
2022-03-21,خیاطی و تعمیرات لباس,1401,1,4
2022-03-21,زیبایی بانوان,1401,1,57
2022-03-21,سرمایش و گرمایش,1401,1,109
2022-03-21,شستشو,1401,1,35
2022-03-21,طراحی و بازسازی ساختمان,1401,1,2
2022-03-21,لوله کشی,1401,1,56
2022-03-21,مجالس و رویدادها,1401,1,5
2022-03-21,نصب و تعمیر لوازم خانگی,1401,1,93
2022-03-21,نظافت و پذیرایی,1401,1,489
2022-03-21,همه فن حریف,1401,1,2
2022-03-21,پزشکی و پرستاری,1401,1,17
2022-03-21,پیرایش و زیبایی آقایان,1401,1,4
2022-03-21,چوب و کابینت,1401,1,14
2022-03-21,کارواش و دیتیلینگ,1401,1,53
2022-03-21,کودک,1401,1,2
2022-03-22,آموزش,1401,1,1
2022-03-22,باربری و جابجایی,1401,1,43
2022-03-22,باغبانی و فضای سبز,1401,1,3
2022-03-22,برقکاری,1401,1,80
2022-03-22,تامین نیروی انسانی,1401,1,3
2022-03-22,تعمیرات موبایل,1401,1,14
2022-03-22,تندرستی و ورزش,1401,1,1
2022-03-22,حیوانات خانگی,1401,1,7
2022-03-22,خدمات شیشه ای ساختمان,1401,1,16
2022-03-22,خدمات فوری آچاره,1401,1,31
2022-03-22,خدمات و تعمیرات خودرو,1401,1,85
2022-03-22,خدمات و تعمیرات ساختمان,1401,1,74
2022-03-22,خدمات کامپیوتری,1401,1,18
2022-03-22,خیاطی و تعمیرات لباس,1401,1,1
2022-03-22,زیبایی بانوان,1401,1,90
2022-03-22,سرمایش و گرمایش,1401,1,71
2022-03-22,شستشو,1401,1,57
2022-03-22,طراحی و بازسازی ساختمان,1401,1,3
2022-03-22,لوله کشی,1401,1,93
2022-03-22,مجالس و رویدادها,1401,1,4
2022-03-22,نصب و تعمیر لوازم خانگی,1401,1,90
2022-03-22,نظافت و پذیرایی,1401,1,269
2022-03-22,همه فن حریف,1401,1,1
2022-03-22,پزشکی و پرستاری,1401,1,30
2022-03-22,پیرایش و زیبایی آقایان,1401,1,7
2022-03-22,چوب و کابینت,1401,1,31
2022-03-22,کارواش و دیتیلینگ,1401,1,23
2022-03-22,کودک,1401,1,1
2022-03-23,آموزش,1401,1,1
2022-03-23,باربری و جابجایی,1401,1,47
2022-03-23,باغبانی و فضای سبز,1401,1,9
2022-03-23,برقکاری,1401,1,76
2022-03-23,تامین نیروی انسانی,1401,1,1
2022-03-23,تعمیرات موبایل,1401,1,31
2022-03-23,حیوانات خانگی,1401,1,7
2022-03-23,خدمات بیمه‌,1401,1,2
2022-03-23,خدمات شیشه ای ساختمان,1401,1,14
